principal_component,explained_variance_ratio,cumulative_explained_variance
1,0.3619884809992633,0.3619884809992633
2,0.19207490257008947,0.5540633835693527
3,0.1112363053624998,0.6652996889318525
4,0.07069030182714033,0.7359899907589929
5,0.06563293679648599,0.8016229275554788
6,0.04935823319222569,0.8509811607477045
7,0.042386793226233184,0.8933679539739376
8,0.02680748948378867,0.9201754434577263
9,0.02222153404789715,0.9423969775056235
10,0.01930019093944078,0.9616971684450643
11,0.01736835689989915,0.9790655253449634
12,0.012982325756042126,0.9920478511010055
13,0.007952148898994496,1.0
