feature,PC1_loading,PC2_loading,PC1_absolute_loading,PC2_absolute_loading
alcohol,0.1443293954060113,0.48365154781721437,0.1443293954060113,0.48365154781721437
malic_acid,-0.24518758025722087,0.22493093462784453,0.24518758025722087,0.22493093462784453
ash,-0.0020510614443710468,0.31606881402531484,0.0020510614443710468,0.31606881402531484
alcalinity_of_ash,-0.23932040548753475,-0.010590502288191445,0.23932040548753475,0.010590502288191445
magnesium,0.14199204195298715,0.2996340032378618,0.14199204195298715,0.2996340032378618
total_phenols,0.39466084506663,0.06503951181927956,0.39466084506663,0.06503951181927956
flavanoids,0.422934296710059,-0.0033598121003076964,0.422934296710059,0.0033598121003076964
nonflavanoid_phenols,-0.2985331029547152,0.028779488112986612,0.2985331029547152,0.028779488112986612
proanthocyanins,0.3134294883076885,0.03930172228973257,0.3134294883076885,0.03930172228973257
color_intensity,-0.08861670472472301,0.5299956720700435,0.08861670472472301,0.5299956720700435
hue,0.2967145635863812,-0.2792351479242819,0.2967145635863812,0.2792351479242819
od280_od315,0.3761674107387128,-0.16449619283578457,0.3761674107387128,0.16449619283578457
proline,0.2867522268968048,0.36490283179808203,0.2867522268968048,0.36490283179808203
